Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_5,MA_20,MA_50,MA_200,Daily_Return,Volatility_20,HL_Spread,Volume_Change
1962-01-02,0.050015919,0.051377655,0.050015919,0.050015919,806400,0.0,0,0.050015919,0.050015919,0.050015919,0.050015919,0.0,0.0,0.02722605176963763,0.0
1962-01-03,0.049273152,0.049273152,0.048158817,0.048901577,1574400,0.0,0,0.049458748,0.049458748,0.049458748,0.049458748,-0.022279746574285664,0.0,0.022787301930978648,0.9523809523809523
1962-01-04,0.04902556,0.049644525,0.04902556,0.049273148,844800,0.0,0,0.04939688133333334,0.04939688133333334,0.04939688133333334,0.04939688133333334,0.007598343914348549,0.02112700039341854,0.012561913032225971,-0.46341463414634143
1962-01-05,0.049273136,0.049892101,0.048035008,0.048158802,1420800,0.0,0,0.0490873615,0.0490873615,0.0490873615,0.0490873615,-0.02261568511920531,0.017347913882238657,0.03856186040508242,0.6818181818181819
1962-01-08,0.047787438,0.047787438,0.046735094,0.047663644,2035200,0.0,0,0.048802618,0.048802618,0.048802618,0.048802618,-0.010281775696995177,0.014205268977029162,0.022078546910932865,0.43243243243243246
1962-01-09,0.047663653,0.048777794,0.04729227,0.048530206,960000,0.0,0,0.048505475400000005,0.048757216,0.048757216,0.048757216,0.018180775267623295,0.01822770647817617,0.030610296605788196,-0.5283018867924528
1962-01-10,0.048530189,0.049458742,0.048035019,0.048777778,1612800,0.0,0,0.0484807156,0.04876015342857143,0.04876015342857143,0.04876015342857143,0.005101400146539703,0.01690847574565055,0.02918794291941715,0.6799999999999999
1962-01-11,0.048777779,0.049273148,0.048530191,0.049273148,614400,0.0,0,0.0484807156,0.04882427775,0.04882427775,0.04882427775,0.010155649156466273,0.016342384300713313,0.015078334349573166,-0.6190476190476191
1962-01-12,0.049273152,0.049273152,0.048406406,0.048901577,883200,0.0,0,0.048629270599999996,0.048832866555555555,0.048832866555555555,0.048832866555555555,-0.0075410444650299,0.01525549739011358,0.017724295476197048,0.4375
1962-01-15,0.048777799,0.048777799,0.048282628,0.048406422,614400,0.0,0,0.0487778262,0.0487902221,0.0487902221,0.0487902221,-0.01012554257708298,0.01448269749018633,0.01022944848102997,-0.30434782608695654
1962-01-16,0.048282587,0.048282587,0.047477832,0.047539823,1113600,0.0,0,0.0485797496,0.04867654945454546,0.04867654945454546,0.04867654945454546,-0.01790256259799572,0.014390558526264535,0.01692801843204179,0.8125
